id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts
source_2-39583,Dolo 500 Tablet,source_2,True,14.95,12.26,micro labs ltd,,,Paracetamol 500mg
source_1-65082,Dolo 500 Tablet 10's,source_1,False,10.0,8.8,micro labs ltd,10,Strip | Tablet,PARACETAMOL-500MG
source_1-65083,Dolo-500 Tablet 15's,source_1,False,14.5,12.8,micro labs ltd,15,Strip | Tablet,PARACETAMOL-500MG
source_6-75721,Dolo 650mg Strip Of 10 Tablets,source_6,False,22.61,19.9,micro labs,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(650.0 Mg)
source_6-75722,Dolo 650mg Strip Of 15 Tablets,source_6,False,33.76,29.71,micro labs,15 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(650.0 Mg)
source_2-39584,Dolo 650 Tablet,source_2,False,33.6,27.55,micro labs ltd,,,Paracetamol 650mg
source_1-65084,Dolo-650 Tablet 15's,source_1,False,33.5,29.5,micro labs ltd,15,Strip | Tablet,PARACETAMOL-650MG
source_6-75723,Dolo Ampoule Of 2ml Injection,source_6,True,9.8,9.8,micro labs,2ml Injection in Ampoule,AMPOULE,Paracetamol / Acetaminophen(150.0 Mg)
source_6-75724,Dolo Bottle Of 5ml Drops,source_6,False,27.0,27.0,micro labs,5ml Oral Drop in Bottle,BOTTLE,Paracetamol / Acetaminophen(100.0 Mg)
source_6-75725,Dolo Cold 325/10/2 Mg Suspension 60 Ml,source_6,True,54.45,46.28,micro labs,60ml Suspension in Bottle,BOTTLE,Phenylephrine(10.0 Mg) + Chlorpheniramine / Chlorphenamine(2.0 Mg) + Paracetamol / Acetaminophen(325.0 Mg)
source_6-75726,Dolo Cold 50 Mg Capsule Sr 10,source_6,True,15.85,13.47,micro labs,10 Capsule(s) in Strip,STRIP,Chlorpheniramine / Chlorphenamine(50.0 Mg) + Pseudoephedrine(50.0 Mg) + Paracetamol / Acetaminophen(50.0 Mg)
source_2-39585,Dolo Cold 500mg/30mg/10mg Tablet,source_2,True,35.0,28.7,micro labs ltd,,,"Paracetamol/Acetaminophen 500mg,Caffeine 30mg,Phen"
source_6-75727,Dolo Cold Adult Nasal Drops,source_6,True,40.83,35.93,micro labs,10ml Nasal Drop in Bottle,BOTTLE,Xylometazoline
source_6-75728,Dolo Cold Pead Nasal Drops,source_6,False,41.0,34.85,micro labs,10ml Nasal Drop in Bottle,BOTTLE,Xylometazoline
source_6-75729,Dolo Cold Strip Of 10 Tablets,source_6,True,35.44,31.19,micro labs,10 Tablet(s) in Strip,STRIP,Caffeine(30.0 Mg) + Phenylephrine(10.0 Mg) + Chlorpheniramine / Chlorphenamine(2.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_6-75730,Dolo Cold Syrup 50 Ml,source_6,True,33.6,29.57,micro labs,1ml Syrup in Bottle,BOTTLE,
source_6-75731,Dolo Cold Syrup 60ml,source_6,True,53.55,47.12,micro labs,60ml Suspension in Bottle,BOTTLE,Chlorpheniramine + Paracetamol + Pseudoephedrine
source_7-90348,Dolo Drops,source_7,False,30.07,22.5,micro labs ltd,15.0 ml in 1 packet,,Paracetamol (100mg/ml)
source_6-75733,Dolo G Tablets,source_6,True,30.91,27.2,integra life sciences pvt ltd,10 Tablet(s) in Strip,STRIP,Dicyclomine + Mefenamic Acid
source_6-75734,Dolo Infusion 100ml,source_6,True,75.03,66.03,micro labs,100ml Infusion in Bottle,BOTTLE,Paracetamol / Acetaminophen(1.0 G)
source_1-65085,Dolo Infusion 100 ml,source_1,True,331.0,291.3,micro labs ltd,100,Bottle | Infusion,PARACETAMOL-1000MG
source_1-65086,Dolo IVG 1% Infusion 100 ml,source_1,True,401.0,352.9,micro labs ltd,100,Bottle | Infusion,PARACETAMOL-1000MG
source_6-75735,Dolo K 50 Mg Strip Of 10 Tablets,source_6,True,7.5,6.6,bosch pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,Diclofenac(50.0 Mg)
source_6-75736,Dolo M Tablets,source_6,True,38.1,33.53,integra life sciences pvt ltd,10 Tablet(s) in Strip,STRIP,Drotaverine + Mefenamic Acid
source_6-75737,Dolo Mf Bottle Of 60ml Suspension,source_6,True,57.51,50.61,micro labs,60ml Suspension in Bottle,BOTTLE,Mefenamic Acid(100.0 Mg/5ml) + Paracetamol / Acetaminophen(250.0 Mg/5ml)
source_6-75738,Dolo Mf Junior Bottle Of 60ml Suspension,source_6,True,52.0,44.2,micro labs,60ml Suspension in Bottle,BOTTLE,Paracetamol / Acetaminophen(125.0 Mg/5ml) + Mefenamic Acid(50.0 Mg/5ml)
source_7-90349,Dolo-MF Junior Oral Suspension,source_7,True,56.5,50.85,micro labs ltd,60.0 ml in 1 bottle,,Mefenamic Acid (50mg/5ml) + Paracetamol (125mg/5ml)
source_1-65087,Dolo-MF Junior Oral Suspension 60 ml,source_1,True,56.5,49.8,micro labs ltd,60,Bottle | Suspension,MEFENAMIC ACID-50MG + PARACETAMOL-125MG
source_2-39587,Dolo-MF Oral Suspension,source_2,True,49.0,40.18,micro labs ltd,,,"Mefenamic Acid 100mg,Paracetamol/Acetaminophen 250"
source_1-65088,Dolo-Mf Susp 60ml,source_1,True,63.0,55.4,micro labs ltd,60,Bottle | Suspension,MEFENAMIC ACID-100MG + PARACETAMOL-250MG
source_6-75739,Dolo (Micro Labs) Forte 500 Mg Tablet 10,source_6,False,14.95,14.95,micro labs,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(500.0 Mg)
source_1-65089,Dolo Oral Drops 15 ml,source_1,False,30.0,26.4,micro labs ltd,15,Bottle | Oral Drops,PARACETAMOL-100MG
source_6-75740,Dolo Pain Relief Bottle Of 35gm Spray,source_6,False,83.5,73.48,micro labs,35g Spray in Bottle,BOTTLE,Diclofenac(1.16 %) + Menthol(5.0 %) + Methyl Salicylate(10.0 %) + Linseed Oil(3.0 %)
source_2-39588,Dolo Pain Relief Spray,source_2,False,143.65,136.47,micro labs ltd,,,
source_1-65090,Dolo Pain Relief Spray 35 gm,source_1,False,91.0,80.1,micro labs ltd,35,Bottle | Spray,
source_1-65091,Dolo Pain Relief Spray 55 gm,source_1,False,143.5,126.3,micro labs ltd,55,Bottle | Spray,DICLOFENAC-1.16%W/V + LINSEED OIL-3%W/V + MENTHOL-5%W/V + METHYL SALICYLATE-10%W/V
source_6-75741,Dolo Plus Tablet,source_6,True,10.0,8.8,mankind pharmaceuticals ltd,10 Tablet(s) in Strip,STRIP,Diclofenac(50.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_6-75742,Dolo Relieve Tablet,source_6,True,18.0,15.84,medico health care,10 Tablet(s) in Strip,STRIP,Diclofenac(50.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_2-39589,Dolo Soft MR 100mg/2mg Tablet,source_2,True,47.0,38.54,gujarat liqui pharmacaps pvt ltd,,,"Nimesulide 100mg,Tizanidine 2mg"
source_2-39590,Dolo SP 500mg Tablet,source_2,True,68.75,56.38,bioguard organics ltd,,,Paracetamol/Acetaminophen 500mg
source_6-75743,Dolo Suspension 60ml,source_6,False,51.0,44.37,micro labs,60ml Suspension in Bottle,BOTTLE,Paracetamol / Acetaminophen(156.25 Mg/5ml)
source_1-65092,Dolo Suspension 60 ml,source_1,False,56.0,49.3,micro labs ltd,60,Bottle | Suspension,PARACETAMOL-125MG
source_7-90352,Dolo-T Tablet,source_7,True,,,micro labs ltd,,,Tramadol (37.5mg) + Paracetamol (325mg)
source_1-65093,Dolo-T Tablet 10's,source_1,True,123.0,108.2,micro labs ltd,10,Strip | Tablet,PARACETAMOL-325MG + TRAMADOL-37.5MG
source_7-90353,Dolo TH 4 Tablet,source_7,True,189.7,157.5,micro labs ltd,10.0 tablets in 1 strip,,Paracetamol (500mg) + Thiocolchicoside (4mg)
source_1-65094,Dolo TH 4 Tablet 10's,source_1,True,189.5,166.8,micro labs ltd,10,Strip | Tablet,PARACETAMOL-500MG + THIOCOLCHICOSIDE-4MG
source_1-65095,Dolo Xtraa Tablet 15's,source_1,False,47.0,41.4,micro labs ltd,15,Strip | Tablet,CAFFEINE-50MG + PARACETAMOL-650MG
source_2-39591,Doloact 25mg Injection,source_2,True,6.66,5.46,ochoa laboratories ltd,,,Diclofenac 25mg
source_6-75744,Doloact 25mg Injection 3ml,source_6,True,6.66,5.86,ochoa laboratiories ltd,3ml Injection,INJECTION,Diclofenac(25.0 Mg)
source_2-39592,Doloact 50mg Tablet DT,source_2,True,11.26,9.23,ochoa laboratories ltd,,,Diclofenac 50mg
source_6-75745,Doloact Dt Tablet,source_6,True,11.26,11.26,ochoa laboratiories ltd,10 Tablet(s) in Strip,STRIP,Diclofenac(50.0 Mg)
source_6-75746,Doloact Gel 30gm,source_6,False,51.0,44.88,ochoa laboratiories ltd,30g Gel in Tube,TUBE,Diclofenac(1.16 %)
source_6-75747,Doloact Mouth Paint,source_6,True,55.0,48.4,bmw pharmaco india pvt ltd,10ml Mouth Paint in Bottle,BOTTLE,Beclomethasone + Clotrimazole
source_2-39593,Doloact MR 250mg/46.5mg/500mg Tablet,source_2,True,40.96,33.59,ochoa laboratories ltd,,,"Chlorzoxazone 250mg,Diclofenac 46.5mg,Paracetamol/"
source_7-90355,Doloact MR 250mg/46.5mg/500mg Tablet DT,source_7,True,40.96,39.7,ochoa laboratories ltd,10.0 tablet dt in 1 strip,,Chlorzoxazone (250mg) + Diclofenac (46.5mg) + Paracetamol (500mg)
source_6-75748,Doloact Mr Dt Strip Of 10 Tablets,source_6,True,40.0,35.2,ochoa laboratiories ltd,10 Tablet(s) in Strip,STRIP,Chlorzoxazone + Diclofenac Sodium + Paracetamol
source_7-90356,Doloact Plus 50mg/500mg Tablet,source_7,True,17.1,16.6,ochoa laboratories ltd,10.0 tablets in 1 strip,,Diclofenac (50mg) + Paracetamol (500mg)
source_6-75749,Doloact Plus Dt Strip Of 10 Tablets,source_6,True,16.0,14.08,ochoa laboratiories ltd,10 Tablet(s) in Strip,STRIP,Diclofenac Sodium + Paracetamol
source_6-75750,Doloact Plus Gel 30gm,source_6,True,14.0,12.32,ochoa laboratiories ltd,30g Gel in Tube,TUBE,Diclofenac + Linseed Oil + Menthol + Methyl Salicylate
source_7-90357,Doloage 20mg Injection,source_7,True,,,allenge india,,,Piroxicam (20mg)
source_7-90358,Doloage 20mg Tablet,source_7,True,32.0,31.0,allenge india,10.0 tablets in 1 strip,,Piroxicam (20mg)
source_6-75751,Doloage 20mg Tablets,source_6,True,28.0,24.64,allenge india pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_6-75752,Doloage Injection,source_6,True,168.0,147.84,allenge india pharmaceuticals pvt ltd,2ml Injection,INJECTION,Piroxicam(40.0 Mg)
source_7-90359,Doloage P 325mg/20mg Tablet,source_7,True,68.0,65.9,allenge india,10.0 tablets in 1 strip,,Paracetamol (325mg) + Piroxicam (20mg)
source_1-65096,Doloar-MR Tablet 10's,source_1,True,95.0,83.6,unibiotech health care pvt ltd,10,Strip | Tablet,ACECLOFENAC-100MG + CHLORZOXAZONE-250MG + PARACETAMOL-325MG
source_1-65097,Doloar Sp Tab 10'S,source_1,True,110.0,96.8,unibiotech health care pvt ltd,10,Strip | Tablet,ACECLOFENAC-100MG + PARACETAMOL-325MG + SERRATIOPEPTIDASE-15MG
source_7-90360,Dolobak 100mg/450mg Tablet,source_7,True,123.0,119.0,micro labs ltd,10.0 tablets in 1 strip,,Paracetamol (100mg) + Chlormezanone (450mg)
source_2-39597,Dolobak 450 mg/100 mg Tablet,source_2,True,56.0,45.92,micro labs ltd,,,"Paracetamol/Acetaminophen 450mg,Chlormezanone 100m"
source_6-75753,Dolobak Strip Of 10 Tablets,source_6,True,123.75,108.9,micro labs,10 Tablet(s) in Strip,STRIP,Tramadol(37.5 Mg) + Paracetamol / Acetaminophen(325.0 Mg)
source_7-90361,Dolobak Tablet,source_7,True,,,micro labs ltd,,,Tramadol (37.5mg) + Paracetamol (325mg)
source_1-65098,Dolobak Tablet 10's,source_1,True,135.0,118.8,micro labs ltd,10,Strip | Tablet,PARACETAMOL-325MG + TRAMADOL-37.5MG
source_7-90362,Doloban 100mg Tablet SR,source_7,True,38.1,36.9,mankind pharma ltd,10.0 tablet sr in 1 strip,,Diclofenac (100mg)
source_7-90363,Doloban 25mg Injection,source_7,True,10.5,10.2,mankind pharma ltd,3.0 ml in 1 ampoule,,Diclofenac (25mg)
source_6-75754,Doloban Aqua 75mg Ampoule Of 1ml Injection,source_6,True,423.0,372.24,mankind pharmaceuticals ltd,1ml Injection in Ampoule,AMPOULE,Diclofenac(75.0 Mg)
source_2-39598,Doloban Aqua 75mg Injection,source_2,True,22.0,18.04,mankind pharma ltd,,,Diclofenac 75mg
source_1-65099,DOLOBAN AQUA INJECTION 1ML,source_1,True,22.0,19.36,mankind pharma pvt ltd,1,Vial | Injection,DICLOFENAC-75MG
source_6-75755,Doloban Injection 3ml,source_6,True,4.57,4.02,mankind pharmaceuticals ltd,3ml Injection in Ampoule,AMPOULE,Diclofenac(25.0 Mg)
source_6-75756,Doloban Injection 30ml,source_6,True,31.42,27.65,mankind pharmaceuticals ltd,30ml Injection in Vial,VIAL,Diclofenac(25.0 Mg)
source_6-75757,Doloban-Mr 50/2 Mg Tablet Mr 10,source_6,True,9.9,8.71,mankind pharmaceuticals ltd,10 Tablet(s) in Strip,STRIP,Tizanidine(2.0 Mg) + Diclofenac(50.0 Mg)
source_6-75758,Doloban Plus Vet Bolus,source_6,True,28.0,24.64,mankind pharmaceuticals ltd,,STRIP,Chlorzoxazone + Nimesulide + Paracetamol
source_6-75759,Doloban Plus Vet Injection,source_6,True,93.0,81.84,mankind pharmaceuticals ltd,30ml Injection in Ampoule,AMPOULE,Nimesulide + Paracetamol
source_6-75760,Doloban Plus Vet Injection 90ml,source_6,True,275.0,242.0,mankind pharmaceuticals ltd,90ml Injection in Ampoule,AMPOULE,Nimesulide + Paracetamol
source_7-90366,Doloban-S Tablet,source_7,True,62.0,60.1,mankind pharma ltd,10.0 tablets in 1 strip,,Diclofenac (50mg) + Serratiopeptidase (15mg)
source_6-75761,Doloban Sr 100mg Strip Of 10 Tablets,source_6,True,38.1,33.53,mankind pharmaceuticals ltd,10 Tablet(s) in Strip,STRIP,Diclofenac(100.0 Mg)
source_6-75762,Doloban Strip Of 10 Tablets,source_6,True,40.0,35.2,mankind pharmaceuticals ltd,10 Tablet(s) in Strip,STRIP,Chlorzoxazone + Diclofenac + Paracetamol
source_2-39599,Dolobest 100mg Tablet,source_2,True,71.42,58.56,ttk healthcare ltd,,,Aceclofenac 100mg
source_2-39600,Dolobest 200mg Tablet SR,source_2,True,26.63,21.84,ttk healthcare ltd,,,Aceclofenac 200mg
source_2-39601,Dolobest MR 100mg/500mg/250mg Tablet,source_2,True,130.0,106.6,ttk healthcare ltd,,,"Aceclofenac 100mg,Paracetamol/Acetaminophen 500mg,"
source_6-75763,Dolobest Mr Strip Of 10 Tablets,source_6,True,130.0,114.4,ttk healthcare ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg) + Chlorzoxazone(250.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_1-65101,Dolobest Mr Tablet,source_1,True,130.0,114.4,ttk healthcare,10,Strip | Tablet,ACECLOFENAC-100MG + CHLORZOXAZONE-250MG + PARACETAMOL-500MG
source_2-39602,Dolobest OD 200mg Tablet,source_2,True,45.7,37.47,ttk healthcare ltd,,,Aceclofenac 200mg
source_6-75764,Dolobest Od Strip Of 10 Tablets,source_6,True,45.7,40.22,ttk healthcare ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(200.0 Mg)
source_7-90371,Dolobest P 100 mg/500 mg Tablet,source_7,True,40.4,39.2,ttk healthcare ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (500mg)
source_6-75765,Dolobest P Strip Of 10 Tablets,source_6,True,29.0,25.52,ttk healthcare ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_1-65102,Dolobest P Tablet 10's,source_1,True,40.4,35.552,ttk healthcare ltd,10,Strip | Tablet,ACECLOFENAC-100MG + PARACETAMOL-500MG
source_7-90372,Dolobest SP 100mg/500mg/15mg Tablet,source_7,True,73.5,71.3,ttk healthcare ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (500mg) + Serratiopeptidase (15mg)
source_6-75766,Dolobest Sp Strip Of 10 Tablets,source_6,True,57.8,50.86,ttk healthcare ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac + Paracetamol + Serratiopeptidase
source_6-75767,Dolobest Sr 200 Mg Tablet 10,source_6,True,26.63,23.43,ttk healthcare ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(200.0 Mg)
source_6-75768,Dolobest Strip Of 10 Tablets,source_6,True,19.9,17.51,ttk healthcare ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg)
source_1-65103,Dolobid 50mg/15mg Tablet,source_1,True,70.0,61.6,apotex life sciences,10,Strip | Tablet,DICLOFENAC-50MG + SERRATIOPEPTIDASE-15MG
source_6-75769,Dolobid M Oint 30gm,source_6,True,87.19,76.73,apotex pharmachem india pvt ltd,30g Ointment in Tube,TUBE,Diclofenac + Menthol + Methyl Salicylate
source_2-39605,Dolobrake Capsule,source_2,True,60.5,49.61,mankind pharma ltd,,,"Diclofenac 100mg,Rabeprazole 20mg"
source_1-65104,Dolobrake MR 500mg/50mg/325mg Tablet,source_1,True,85.0,74.8,mankind pharma ltd,10,Strip | Tablet,CHLORZOXAZONE-500MG + DICLOFENAC-50MG + PARACETAMOL-325MG
source_7-90375,Dolobrake SP 50mg/325mg/15mg Tablet,source_7,True,90.2,86.0,mankind pharma ltd,10.0 tablets in 1 strip,,Diclofenac (50mg) + Paracetamol (325mg) + Serratiopeptidase (15mg)
source_7-90376,Doloby Plus 100mg/500mg Tablet,source_7,True,,,boyeger biotech pvt ltd,,,Aceclofenac (100mg) + Paracetamol (500mg)
source_7-90377,Dolocaf Extra Tablet,source_7,False,40.0,38.8,hnf care pvt ltd,10.0 tablets in 1 strip,,Caffeine (50mg) + Paracetamol (650mg)
source_7-90379,Dolocaine Cream,source_7,False,196.0,184.0,cadila pharmaceuticals ltd,5.0 gm in 1 tube,,Prilocaine (25mg/gm) + Lidocaine (25mg/gm)
source_6-75771,Dolocaine Cream 15gm,source_6,False,319.56,281.21,zydus healthcare ltd,15g Cream in Tube,TUBE,Prilocaine(2.5 %) + Lidocaine / Lignocaine(2.5 %)
source_1-65107,Dolocaine Cream 30 gm,source_1,False,835.0,734.8,zydus cadila healthcare ltd,30,Tube | Cream,LIDOCAINE-25MG + PRILOCAINE-25MG
source_6-75772,Dolocaine Cream 30gm,source_6,False,708.5,708.5,cadila pharmaceuticals ltd,30g Cream in Tube,TUBE,Prilocaine(2.5 %) + Lidocaine / Lignocaine(2.5 %)
source_1-65108,Dolocaine Cream 5gm,source_1,True,127.0,111.8,cadila healthcare ltd,5,Tube | Cream,LIDOCAINE-2.5%W/W + PRILOCAINE-2.5%W/W
source_7-90380,Dolocalm 75mg Injection,source_7,True,14.0,13.6,sanes pharmaceuticals,1.0 ml in 1 vial,,Diclofenac (75mg)
source_7-90381,Dolocalm Forte 50mg/500mg Tablet,source_7,True,30.0,29.1,sanes pharmaceuticals,10.0 tablets in 1 strip,,Diclofenac (50mg) + Paracetamol (500mg)
source_6-75774,Dolocalm Forte Tablets,source_6,True,30.0,26.4,sresan pharmaceuticals,10 Tablet(s) in Strip,STRIP,Diclofenac Sodium + Paracetamol
source_6-75775,Dolocalm Gel,source_6,False,90.0,79.2,sresan pharmaceuticals,30g Gel in Tube,TUBE,Diclofenac + Linseed Oil + Menthol + Methyl Salicylate
source_6-75776,Dolocalm Injection,source_6,True,50.88,44.77,sresan pharmaceuticals,1ml Injection,INJECTION,Diclofenac Sodium
source_7-90383,Dolocam 20mg Tablet,source_7,True,50.88,49.3,cipla ltd,10.0 tablets in 1 strip,,Piroxicam (20mg)
source_6-75777,Dolocam 20 Mg Tablet 10,source_6,True,50.88,44.77,cipla ltd,10 Tablet(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_7-90384,Dolocam 20mg Tablet DT,source_7,True,68.8,66.7,bhavishya pharmaceuticals pvt ltd,25.0 tablet dt in 1 strip,,Piroxicam (20mg)
source_6-75778,Dolocam Dt 20mg Tablet,source_6,True,33.0,29.04,cipla ltd,10 Tablet(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_6-75779,Dolocare 100 Mg Tablet,source_6,True,50.0,44.0,alkem laboratories ltd,10 Tablet(s) in Strip,STRIP,
source_1-65111,Dolocare 1000mg Tablet,source_1,True,50.0,44.0,eurocare,10,Strip | Tablet,PARACETAMOL-1000MG
source_6-75780,Dolocare 20mg Tablets,source_6,True,7.0,6.16,vensat bio,10 Tablet(s) in Strip,STRIP,Piroxicam(20.0 Mg)
source_6-75781,Dolocare 500 Mg Tablet,source_6,False,39.0,39.0,alkem laboratories ltd,10 Tablet(s) in Strip,STRIP,Paracetamol / Acetaminophen(500.0 Mg)
source_2-39609,Dolocare 500mg Tablet,source_2,True,49.31,40.43,alkem laboratories ltd,,,Paracetamol/Acetaminophen 500mg
source_6-75782,Dolocare Injection 2ml,source_6,True,13.0,11.44,vensat bio,2ml Injection,INJECTION,Piroxicam
source_6-75783,Dolocef 250mg Strip Of 10 Tablets,source_6,True,410.0,360.8,dolphin laboratories,10 Tablet(s) in Strip,STRIP,Cefradine(250.0 Mg)
source_6-75784,Dolocef 500 Mg Tablet 10,source_6,True,410.0,360.8,dolphin healthcare pvt ltd,10 Tablet(s) in Strip,STRIP,Cefuroxime(500.0 Mg)
source_1-65112,Dolocel Plus Tablet,source_1,True,80.0,70.4,cian health care pvt ltd,10,Strip | Tablet,DICLOFENAC-50MG + PARACETAMOL-325MG + SERRATIOPEPTIDASE-10MG
source_1-65113,Dolocel SP 50mg/10mg Tablet,source_1,True,95.2,83.776,cian health care pvt ltd,10,Strip | Tablet,DICLOFENAC-50MG + SERRATIOPEPTIDASE-10MG
source_1-65114,Dolocem 20mg Tablet DT,source_1,True,70.0,61.6,netprime pharma pvt ltd,10,Strip | Tablet,PIROXICAM-20MG
source_1-65115,Dolocerin Tablet 10's,source_1,False,85.0,74.8,zydus cadila,10,Strip | Tablet,
source_2-39610,Dolocet 325 mg/37.5 mg Tablet,source_2,True,46.23,37.91,micro labs ltd,,,"Paracetamol/Acetaminophen 325mg,Tramadol 37.5mg"
source_6-75785,Dolocet 400mg Tablets,source_6,True,45.0,39.6,micro labs,10 Tablet(s) in Strip,STRIP,Paracetamol + Tramadol
source_7-90389,Dolocet P 100mg/325mg Tablet,source_7,True,37.52,32.76,caplet india pvt ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (325mg)
source_1-65116,Dolocet-P Tablet 10's,source_1,True,37.5,33.0,caplet india pvt ltd,10,Strip | Tablet,ACECLOFENAC-100MG + PARACETAMOL-325MG
source_6-75786,Dolochek 100mg Strip Of 10 Tablets,source_6,True,22.12,19.69,indoco remedies ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg)
source_2-39611,Dolochek 100mg Tablet,source_2,True,22.12,18.14,indoco remedies ltd,,,Aceclofenac 100mg
source_2-39612,Dolochek 200mg Tablet SR,source_2,True,31.99,26.23,indoco remedies ltd,,,Aceclofenac 200mg
source_7-90392,Dolochek P 100mg/500mg Tablet,source_7,True,37.0,32.31,indoco remedies ltd,10.0 tablets in 1 strip,,Aceclofenac (100mg) + Paracetamol (500mg)
source_6-75787,Dolochek P Strip Of 10 Tablets,source_6,True,76.0,66.88,indoco remedies ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(100.0 Mg) + Paracetamol / Acetaminophen(500.0 Mg)
source_6-75788,Dolochek Sr 200mg Strip Of 10 Tablets,source_6,True,267.3,235.22,indoco remedies ltd,10 Tablet(s) in Strip,STRIP,Aceclofenac(200.0 Mg)
source_2-39614,Dolocide K 50mg Tablet,source_2,True,15.1,12.38,kee pharma,,,Diclofenac 50mg
source_6-75789,Dolocide K Plus Strip Of 10 Tablets,source_6,True,,,kee pharma,10 Tablet(s) in Strip,STRIP,Diclofenac Potassium
source_6-75790,Dolocide K Strip Of 10 Tablets,source_6,True,13.5,11.88,kee pharma,10 Tablet(s) in Strip,STRIP,Diclofenac(50.0 Mg)
source_6-75791,Dolocide Kp Strip Of 10 Tablets,source_6,True,19.8,17.42,kee pharma,10 Tablet(s) in Strip,STRIP,Diclofenac + Paracetamol
source_2-39615,Dolocide KP Tablet,source_2,True,19.8,16.24,kee pharma,,,"Diclofenac 50mg,Paracetamol/Acetaminophen 650mg"
